Publication Years	Record Count	% of 10,878
2025	598	5.497
2024	1490	13.697
2023	1245	11.445
2022	1248	11.473
2021	1245	11.445
2020	972	8.935
2019	717	6.591
2018	568	5.222
2017	480	4.413
2016	399	3.668
2015	364	3.346
2014	295	2.712
2013	275	2.528
2012	197	1.811
2011	196	1.802
2010	137	1.259
2009	130	1.195
2008	76	0.699
2007	95	0.873
2006	65	0.598
2005	54	0.496
2004	20	0.184
2003	11	0.101
2002	1	0.009
